# Chimera Neural Network - Saved Model
# W, layer, from, to, weight
# B, layer, neuron, bias
W,0,3,17,0.02188363
W,0,3,18,-0.01667280
W,0,3,19,-0.13994966
W,0,3,20,-0.01998603
W,0,3,21,0.08461107
W,0,3,22,0.04333401
W,0,3,23,0.12919803
W,0,3,24,-0.29555336
W,0,3,25,-0.04200145
W,0,3,26,-0.10621260
W,0,3,27,-0.13505708
W,0,3,28,-0.09919570
W,0,3,29,-0.17593643
W,0,3,30,-0.52624077
W,0,3,31,0.02879143
W,0,3,32,0.02979133
W,0,3,33,0.06348646
W,0,3,34,0.07221454
W,0,3,35,0.02288217
W,0,3,36,0.06034703
W,0,3,37,-0.10644860
W,0,3,38,-0.02989065
W,0,3,39,-0.16877563
W,0,3,40,0.00109667
W,0,3,41,0.00839542
W,0,3,42,0.01851443
W,0,3,43,-0.25992307
W,0,3,44,-0.28262490
W,0,3,45,0.02562352
W,0,3,46,0.08914600
W,0,3,47,-0.07944997
W,0,3,48,-0.27480179
W,0,3,49,-0.28105602
W,0,3,50,0.03765025
W,0,3,51,0.30611873
W,0,3,52,-0.01524503
W,0,3,53,0.17672665
W,0,3,54,0.03003516
W,0,3,55,0.00205141
W,0,3,56,0.16550146
W,0,3,57,-0.25189322
W,0,3,58,-0.03597739
W,0,3,59,0.10032282
W,0,3,60,-0.05839309
W,0,3,61,0.01416854
W,0,3,62,-0.04599158
W,0,3,63,0.04318829
W,0,3,64,0.00310389
W,0,3,65,-0.07200196
W,0,3,66,-0.24307457
W,0,3,67,-0.10076945
W,0,3,68,-0.33661926
W,0,3,69,0.21381401
W,0,3,70,-0.22469534
W,0,3,71,-0.08776450
W,0,3,72,-0.02289488
W,0,3,73,0.09103823
W,0,3,74,-0.13869397
W,0,3,75,0.11661356
W,0,3,76,-0.26475775
W,0,3,77,-0.03487008
W,0,3,78,-0.51456273
W,0,3,79,0.27805296
W,0,3,80,-0.09139484
W,0,3,81,0.08841763
W,0,3,82,-0.56517148
W,0,3,83,0.09398217
W,0,3,84,-0.05856404
W,0,3,85,0.37672982
W,0,3,86,-0.14652362
W,0,3,87,-0.21324509
W,0,3,88,-0.44743279
W,0,3,89,0.18492027
W,0,3,90,-0.18593225
W,0,3,91,-0.11279215
W,0,3,92,-0.10236125
W,0,3,93,-0.29031146
W,0,3,94,0.10067450
W,0,3,95,0.05645335
W,0,3,96,0.11067437
W,0,3,97,0.01403199
W,0,3,98,0.01615968
W,0,3,99,-0.16503642
W,0,3,100,-0.04566797
W,0,3,101,-0.02040231
W,0,3,102,-0.00450031
W,0,3,103,-0.15693595
W,0,3,104,0.12916178
W,0,3,105,-0.01099350
W,0,3,106,-0.11845601
W,0,3,107,-0.16540460
W,0,3,108,-0.05310306
W,0,3,109,0.01352446
W,0,3,110,-0.20121145
W,0,3,111,-0.23243019
W,0,3,112,0.04521311
W,0,3,113,-0.13356076
W,0,3,114,-0.04807593
W,0,3,115,-0.29587924
W,0,3,116,-0.01334284
W,0,3,117,-0.11956109
W,0,3,118,-0.08159461
W,0,3,119,0.08512999
W,0,3,120,-0.06268446
W,0,3,121,0.31110781
W,0,3,122,-0.18743019
W,0,3,123,-0.26359904
W,0,3,124,-0.08203696
W,0,3,125,-0.04152423
W,0,3,126,0.08781616
W,0,3,127,0.23426132
W,0,4,0,0.30930269
W,0,4,1,0.09138566
W,0,4,2,0.10364798
W,0,4,3,-0.13468316
W,0,4,4,-0.01591808
W,0,4,5,0.03636415
W,0,4,6,-0.15970923
W,0,4,7,0.08055077
W,0,4,8,-0.04037053
W,0,4,9,-0.20830597
W,0,4,10,0.40203932
W,0,4,11,0.25147361
W,0,4,12,-0.07068195
W,0,4,13,0.00415197
W,0,4,14,-0.16209917
W,0,4,15,0.27539816
W,0,4,16,0.37801978
W,0,4,17,-0.13282025
W,0,4,18,-0.27557641
W,0,4,19,-0.08134621
W,0,4,20,-0.16308497
W,0,4,21,-0.14665328
W,0,4,22,0.05357379
W,0,4,23,-0.41469142
W,0,4,24,-0.09318139
W,0,4,25,-0.13188528
W,0,4,26,0.34026441
W,0,4,27,0.01134660
W,0,4,28,0.27358145
W,0,4,29,0.14625484
W,0,4,30,-0.15966822
W,0,4,31,-0.25511509
W,0,4,32,-0.02277429
W,0,4,33,-0.25801173
W,0,4,34,-0.01057812
W,0,4,35,0.13483655
W,0,4,36,-0.15019016
W,0,4,37,0.12093160
W,0,4,38,0.08615446
W,0,4,39,0.11770022
W,0,4,40,0.15355994
W,0,4,41,0.04350297
W,0,4,42,0.02656288
W,0,4,43,-0.07025302
W,0,4,44,0.10902211
W,0,4,45,0.05655311
W,0,4,46,0.25589588
W,0,4,47,0.23196314
W,0,4,48,0.12265337
W,0,4,49,-0.24463847
W,0,4,50,-0.13357127
W,0,4,51,-0.01131956
W,0,4,52,0.08499412
W,0,4,53,0.22322449
W,0,4,54,0.03836961
W,0,4,55,0.02566228
W,0,4,56,0.05916473
W,0,4,57,-0.06555963
W,0,4,58,-0.17475350
W,0,4,59,-0.12349368
W,0,4,60,0.02476882
W,0,4,61,-0.02794101
W,0,4,62,0.08705710
W,0,4,63,-0.04488011
W,0,4,64,-0.00076222
W,0,4,65,0.13251294
W,0,4,66,0.01194619
W,0,4,67,-0.21943353
W,0,4,68,0.03049790
W,0,4,69,-0.03725591
W,0,4,70,-0.23338160
W,0,4,71,-0.26702443
W,0,4,72,0.11287621
W,0,4,73,0.03074963
W,0,4,74,-0.00060673
W,0,4,75,0.03361012
W,0,4,76,-0.09089991
W,0,4,77,-0.05240059
W,0,4,78,-0.13735279
W,0,4,79,0.41115192
W,0,4,80,-0.16203924
W,0,4,81,0.11584848
W,0,4,82,-0.05329513
W,0,4,83,0.17486750
W,0,4,84,-0.11194010
W,0,4,85,0.28433505
W,0,4,86,-0.46418121
W,0,4,87,-0.04877647
W,0,4,88,0.11404812
W,0,4,89,-0.04190755
W,0,4,90,-0.03362815
W,0,4,91,-0.54573947
W,0,4,92,0.18268852
W,0,4,93,-0.47598186
W,0,4,94,0.10675702
W,0,4,95,0.13261606
W,0,4,96,0.10562262
W,0,4,97,-0.13448073
W,0,4,98,-0.04145565
W,0,4,99,0.13724048
W,0,4,100,0.16651072
W,0,4,101,-0.10516683
W,0,4,102,-0.03123684
W,0,4,103,-0.10194051
W,0,4,104,0.08108015
W,0,4,105,0.21482417
W,0,4,106,0.30251136
W,0,4,107,0.16112946
W,0,4,108,0.32166097
W,0,4,109,-0.09243883
W,0,4,110,-0.01793440
W,0,4,111,0.27418175
W,0,4,112,0.32863784
W,0,4,113,-0.07691453
W,0,4,114,0.00749503
W,0,4,115,-0.01468831
W,0,4,116,0.55116796
W,0,4,117,-0.09216329
W,0,4,118,0.13892390
W,0,4,119,0.20381084
W,0,4,120,0.28503433
W,0,4,121,0.25351092
W,0,4,122,0.07765736
W,0,4,123,0.25767037
W,0,4,124,0.05423841
W,0,4,125,0.04431126
W,0,4,126,0.12394806
W,0,4,127,-0.23231483
W,0,5,0,-0.09747907
W,0,5,1,-0.09548258
W,0,5,2,-0.11366385
W,0,5,3,0.08702528
W,0,5,4,-0.03221661
W,0,5,5,0.10019140
W,0,5,6,0.15622236
W,0,5,7,-0.12202834
W,0,5,8,-0.23503168
W,0,5,9,0.04888351
W,0,5,10,-0.08937301
W,0,5,11,-0.21032953
W,0,5,12,-0.26003084
W,0,5,13,-0.42152312
W,0,5,14,0.51638806
W,0,5,15,-0.04333846
W,0,5,16,0.28757194
W,0,5,17,-0.12726749
W,0,5,18,-0.12643673
W,0,5,19,-0.02424971
W,0,5,20,0.09429294
W,0,5,21,-0.16067901
W,0,5,22,0.09598643
W,0,5,23,0.05613779
W,0,5,24,-0.10849315
W,0,5,25,0.00459521
W,0,5,26,0.16704564
W,0,5,27,0.16198109
W,0,5,28,0.10365190
W,0,5,29,0.04697607
W,0,5,30,0.02490108
W,0,5,31,-0.04145456
W,0,5,32,0.33526295
W,0,5,33,-0.37660554
W,0,5,34,0.02925163
W,0,5,35,-0.28919494
W,0,5,36,-0.08863901
W,0,5,37,-0.04710594
W,0,5,38,0.41777557
W,0,5,39,-0.26472637
W,0,5,40,0.10161392
W,0,5,41,-0.23475873
W,0,5,42,0.20638368
W,0,5,43,-0.08944739
W,0,5,44,-0.04360364
W,0,5,45,0.17662798
W,0,5,46,-0.17419663
W,0,5,47,-0.04146628
W,0,5,48,0.07081655
W,0,5,49,-0.02619257
W,0,5,50,-0.05742135
W,0,5,51,0.40605572
W,0,5,52,0.02516573
W,0,5,53,-0.03428767
W,0,5,54,0.07362419
W,0,5,55,-0.08618253
W,0,5,56,-0.18084019
W,0,5,57,-0.07521728
W,0,5,58,-0.01612806
W,0,5,59,0.10346356
W,0,5,60,-0.16326240
W,0,5,61,-0.12899390
W,0,5,62,0.23639894
W,0,5,63,0.04821777
W,0,5,64,0.19616485
W,0,5,65,-0.09105980
W,0,5,66,-0.05163547
W,0,5,67,0.20781775
